Year,Period,Agriculture,CropProduction,Livestock,Forestry,Fishing,Industry,MiningAndQuarrying,CrudePetroleumAndNaturalGas,CoalMining,MetalOres,QuarryingAndOtherMinerals,Manufacturing,OilRefining,Cement,FoodBeverageAndTobacco,TextileApparelAndFootwear,WoodAndWoodProducts,PulpPaperAndPaperProducts,ChemicalAndPharmaceuticalProducts,NonMetallicProducts,PlasticAndRubberProducts,ElectricalAndElectronics,BasicMetalIronAndSteel,MotorVehiclesAndAssembly,OtherManufacturing,ElectricityGasSteamAndAirCon,WaterSupplySewageWaste,Construction,Services,Trade,AccommodationAndFoodServices,TransportationAndStorage,RoadTransport,RailTransportAndPipelines,WaterTransport,AirTransport,TransportServices,PostAndCourierServices,InformationAndCommunication,Publishing,MotionPicturesSoundRecordingAndMusicProduction,Broadcasting,ArtsEntertainmentAndRecreation,FinanceAndInsurance,FinancialInstitutions,Insurance,RealEstate,ProfessionalScientificAndTechnicalServices,AdministrativeAndSupportServicesBusinessServices,PublicAdministration,Education,HumanHealthAndSocialServices,OtherServices,GDPatCurrentBasicPrices,NetTaxesOnProducts,GDPatCurrentMarketPrices
2012,Q1,3107.51,2688.31,298.22,38.37,82.61,5009.25,3036.49,3018.57,1.45,0.93,15.55,1368.91,62.95,72.2,754.15,236.14,45.01,8.83,11.38,33.06,29.3,1.17,33.58,10.52,70.62,86.35,10.86,506.63,8333.6,2912.96,85.47,151.77,126.78,0.02,0.92,13.45,6.3,4.3,1682.21,3.5,144.78,184.84,28.8,516.2,453.41,62.79,1053.78,582.87,3.56,501.81,275.01,104.02,435.14,16450.36,224.74,16675.1
2012,Q2,3309.86,2901.39,284.66,42.73,81.08,4806.51,2732.27,2717.01,1.33,0.92,13.01,1361.34,63.92,74.99,765.61,227.45,43.88,8.21,17.4,30.63,30.09,1.22,34.03,9.81,54.11,92.96,13.82,606.11,9627.26,3187.84,66.72,268.59,235.43,0.06,1.61,16.44,10.38,4.68,2112.81,3.83,158.44,171.86,31.51,528.94,452.95,75.99,1444.44,669.51,4.09,549.99,262.15,120.72,379.95,17743.63,224.67,17968.3
2012,Q3,4676.9,4259.36,304.19,41.48,71.86,5172.06,3100.99,3083.26,0.58,0.66,16.5,1460.3,63.51,76.49,858.07,229.81,45.33,8.19,17.07,32.48,30.29,1.23,34.23,9.58,54.02,91.28,13.03,506.46,8672.64,2771.81,94.55,231.76,194.59,0.04,1.77,18.39,12.51,4.46,1654.75,3.33,137.76,150.44,27.4,476.18,412.88,63.3,1433.73,690.72,4.22,529.43,311.2,106.04,340.86,18521.6,213.7,18735.3
2012,Q4,4721.73,4222.17,364.85,47.58,87.12,4599.9,2516.77,2496.2,1.24,0.4,18.93,1398.26,64.32,77,781.15,235.04,44.3,8.31,23.84,30.71,30.59,1.23,34.53,9.36,57.88,105.26,10.1,569.52,9676.71,2970.92,106.48,265.19,228.01,0.07,1.27,17.33,12.99,5.52,1816.95,3.57,147.66,195.83,29.37,507.44,437.65,69.8,1613.05,689.23,4.21,628.82,404.36,112.15,528.53,18998.34,222.58,19220.92
2012,Annual,15816,14071.24,1251.93,170.16,322.67,19587.72,11386.52,11315.03,4.6,2.9,63.99,5588.82,254.7,300.68,3158.99,928.44,178.52,33.55,69.69,126.88,120.27,4.85,136.35,39.28,236.63,375.84,47.81,2188.72,36310.22,11843.53,353.22,917.32,784.81,0.19,5.57,65.61,42.18,18.96,7266.72,14.22,588.64,702.97,117.08,2028.76,1756.88,271.88,5545,2632.34,16.07,2210.05,1252.72,442.94,1684.48,71713.94,885.69,72599.63
2013,Q1,3286.11,2815.22,334.45,41.8,94.64,5285.8,2776.83,2756.31,1.73,1.03,17.76,1761.41,102.47,106.17,915.07,331.57,49.91,12.41,22.65,45.08,39.21,1.22,38.83,12.68,84.13,112.71,15.55,619.3,9723.72,3381.13,153.93,173.38,144.5,0.02,0.95,15.53,7.54,4.83,1903.15,4.25,192.09,242.41,35.36,603.73,531.02,72.71,1212.91,633.12,3.83,527.63,330.27,117.5,647.78,18295.63,226.55,18522.19
2013,Q2,3511.13,3049.06,321.47,47.55,93.05,5007.03,2346.27,2327.59,1.64,1.12,15.93,1775.97,102.94,111.07,935,319.38,50.32,12.38,28.49,44.7,40.18,1.28,39.72,12.74,77.79,124.9,21.09,738.8,11412.85,3662.07,150.91,302.3,262.44,0.07,1.84,19.06,13.32,5.57,2559.73,4.64,209.68,238.97,38.6,625.96,535.95,90.01,1793.16,761.57,4.61,600.23,313.32,143.65,456.74,19931.02,218.66,20149.67
2013,Q3,4992.2,4528.68,337.66,45.67,80.19,5352.7,2757,2736.08,0.68,0.75,19.48,1844.65,102.8,115.67,986.02,322.69,51.63,12.84,28.87,46.15,40.98,1.34,40.77,13.03,81.88,117.66,19.14,614.24,10119.49,3215.82,173.3,265.25,220.26,0.04,2.03,21.98,15.89,5.04,1852.89,4.02,181.75,198.68,33.45,564.11,491.99,72.12,1721.35,783.65,4.75,572.51,406.31,125.18,400.92,20464.4,239.43,20703.82
2013,Q4,5027.1,4469.36,405.9,52.93,98.91,5208.31,2500.87,2476.34,1.48,0.45,22.59,1851.28,104.09,117.85,978.41,330.04,52.22,13,29.02,46.48,41.62,1.38,42.84,12.66,81.67,137.4,14.81,703.95,11166.1,3443.81,170.26,310.29,265.93,0.08,1.4,20.34,16.3,6.25,2043.64,4.34,196.02,260.84,36.08,597.37,517.26,80.12,1949.68,775.47,4.7,684.53,500.03,132.4,517.83,21401.52,232.76,21634.28
2013,Annual,16816.55,14862.32,1399.48,187.95,366.79,20853.85,10380.97,10296.33,5.54,3.35,75.76,7233.32,412.3,450.75,3814.5,1303.68,204.09,50.64,109.03,182.41,161.98,5.22,162.15,51.1,325.47,492.68,70.59,2676.28,42422.17,13702.84,648.39,1051.22,893.13,0.22,6.22,76.91,53.05,21.69,8359.41,17.25,779.53,940.89,143.49,2391.17,2076.21,314.95,6677.1,2953.82,17.89,2384.9,1549.93,518.74,2023.27,80092.56,917.4,81009.96
